Tweets,Decision
lucky fuckhead was the cause of our last offense drive turning to shit. #cowboysnation,No
ass nipple shits asshat crap asshat,No
#hot girls naked asses college girl caught naked outdoor swimming,No
let 2017 be the year u nasty asses stop using pictures of lil kids as memes for your sexual content pls protect the babies,No
hey #wwepittsburgh would you shut up the asshat chanting cm punk right now? #wweroadblock,No
@femitheist he has always been a asshat when it comes to stuff like this.,No
mom:what do you want for your b-day me: i wanna snort cocaine off hookers' asses dad: that's my boy,No
"edson is lowkey starting to type like me  he types ""dÙd"" instead of ""dude"" lmfao what a fuckhead",No
tard. *blue hearts* https://t.co/bxezjk1hj7,No
@solitbritt @caylajenelle13 y'all young asses not graduating anytime soon ______,No
when you find that balance between pleasantly buzzed and shitfaced via /r/trollxchromosomes ƒ https://t.co/1xkjmpguas,No
soo n fran compete to see how bad their nasty asses can get,No
like the only people that came into the store were people that were drunk off their asses,No
jay  you better light into their asses at halftime. #nygvswas,No
#girl is seen nude by doctor sexy asses in panties,No
i'm so thankful for my parents; they work their asses off all year to make this day happen and i'm just so happy. merry christmas everyone!,No
rt @eskopse: they're just like us  they worked their asses off too so don't bash each other !! ____ #peacenowar,No
#teamexo she thinks we are ugly asses https://t.co/jgkl9gxfp6,No
@ashrossdavis @dailymirror gutter press in full-fucktard mode.,Yes
rt @pradahungry: that diy video got yall asses acting up __ https://t.co/estj3kyzea,No
sexy women asses and faces #best blowjob ever seen https://t.co/wx6tcs35ab,No
yall asses goin be sick in the morning,No
are black girls the only ones that buy pants to fit comfortably over our asses and too big in the waist and just weƒ https://t.co/xq5dabw8g6,No
@msremyrae @organicjavaandj @tjsotomayor fucktard? you got how many children? fatherless? and u r 22? explain to me how ur kids r not doomed,Yes
@gyfhas @cp24 do you need the cia or fbi to drop it off are your doorstep?  you're just being an antagonistic fucktard.  move to florida,Yes
about to come back on live cam for chat _ visit my profile and click the link! #nsfw #porn #sexvideos #asses,No
they're the most innocent souls on this whole planet and yall up their asses everyday for no reason https://t.co/0e2epgfaxa,No
rt @ngartia: the brits would shove hot eggs up people's asses yo. black pepper and broken bottles up vaginas. they'd smash balls and make yƒ,No
they're on their gd way and you literally are doing nothing but waiting on their late  non- showing up asses.,No
if y'all nosy asses gon lurk can u at least be discrete lmao,No
@yeanling3696 thanks to the fuckhead that said yes,No
bc we made it to another year __ 2017 is going to be your year if you own it  so just keep werking your asses off bc you slay __,No
#lesbians fist fucking puerto rican big asses,No
rt @iwantkayla_: yandy be killing these hoes wit kindness omm cuz some asses would've been whooped ________ #lhhny,No
"rt @castilloxo_xo: ""we can shake our asses at 12"" instead of getting the new years kiss lmao ______",No
let's hear it for this motherfuckin cocksucker right here https://t.co/lcpxtnyjhh,No
sierra and kim get nasty horny with their bouncing asses! https://t.co/xypkqisiks,No
@r0uxx666 @grimiss @ir0cky0urs0ck @gglindsayelyse @sircapobvious @norith613 @dleonetti55  you asshat!,No
anastasia brill #tugjob in 1280x720 clip https://t.co/cgmdkpz4qn so today on big tits round asses we have a hot latina ready to get fuck. we,No
rt @sookiemurage: i genuinely think some people on this app enjoy having their asses on fire about the same thing every day.,No
boobs asshat pussy jerkass fuckwit cocksucker shat,No
idgi why y'all hate on gigi so much? what did that girl do to get y'all bitter asses so butthurt? https://t.co/tpxshjsog3,No
rt @bnkn62: kaiba is ridiculous and i think i love him. what a shithead,No
sweet cocksucker girlboy https://t.co/x07jg7akaq,No
about to head back on webcam for chat _ visit my profile and click the link! #nsfw #porn #sexvideos #asses,No
give me your tired  your poor  your huddled asses... __ https://t.co/ycqlz3ljoe,No
@oddfuturejames just beat their asses,No
rt @nolabwoykizz: yall stop what yall doing &amp; go follow my freaky ass bro @dick_texas snapchat he will def keep that asses __ wet &amp; thƒ,No
esports shitfaced party people. we usually are walking distance from hotel. if you have to drive tonight  be safe__ see ya in 2016 #csgo __,No
yeah whereas chanyeol as a shithead ceo and baekhyun as a cosplayer and then they meet.. have a deal... i https://t.co/c4g1czrd60,No
rt @chez1017: got y'all asses https://t.co/x2ua4dkle0,No
rt @karleerenee_: i hope everyones night is nothing but a positive experience surrounded by legit homies who got your drunk asses when itsƒ,No
photo girl __ ´ ´ ´ #asses #ass #sexy #booty #picoftheday #photooftheday #fitness #legs #love #butts #babe #modelƒ https://t.co/pkjjef66th,No
big cocks in eachothers tight twink asses https://t.co/d6cvzb1uyo,No
she wanted pics before we get shitfaced... https://t.co/iql47bvy4o,No
same!! i like to be on time. once i'm ready i start prodding and encouraging everyone else to get their slow assesƒ https://t.co/a2xt0mk1eq,No
@amxndasantino get the fuck off manda's account you have no respect for her get your own account instead fucktard,Yes
we had a good year  but now we're gonna hibernate for a while  and write the next great american rock record. see all y'all asses soon. ______,No
tanushree sex scene #cute naked asses https://t.co/jqmz12bzoc,No
@naughtybeyotch this asswipe is a victim of his own mendacity and spitefulness.,No
"@jihadwatchrs sweden is lost: ""empower women"" while mocking christian carols - no goats  but 9 dumb-asses on stage  https://t.co/viaqqtulaz",Yes
can't be asses or can't be bothered https://t.co/kyells2w5x,No
@mozfire @boxingscene you mean fans who believe ward won and canelo is the best. they also say ggg hasn't fought anybody? __asses they are.,No
@boonira just another asshat,No
"sooooo i'm reading the tweets from"" that list"". y'all asses are a bunch of junior high girls that got butt hurt oveƒ https://t.co/lxmf4bytn8",No
dumb asses... dumb asses everywhere.,Yes
@codydotwilliams this guy is such an asshat https://t.co/ptkmcbvm2o,No
interaction effects of as  cd and pb on their respective bioaccessibility with time in co-contaminated soils assesƒ https://t.co/qw5abkbg9i,No
@lazonate or we are just kids who work our asses off nd succeed because the idea of challenging our parents success drives us to this 98.67%,No
@wifegoes0n to me the term best friend is a joke. you're either a friend or your not. no half-asses or fair weather. ___,No
dude is watching your asses die with eyes..arms..hands and a stomach that desires oxen on the flamed...lol lol.... https://t.co/xu5ltb8fj0,No
@gabgnzls @erumae @ohsnapitzrica @ajoycecasas @jamcasa @sandymcsa merry christmas  my loves! i miss your pretty faces and your fat asses __,No
@craftysirldn @pupbenson i love how we've said the same thing from sub perspective and dom perspective haha even down to the word asshat __,No
@bybucky me  annoying bees? fucking ramuh on their asses.,No
wake yals asses up. it's #2017,No
forever up ya niggas asses __,No
@dee_babayyy cake asses,No
@mymy_kl you do know your dealing with a prankster and a liar. so take it at face value. it's not racism he's just a fucktard.,Yes
@mbsevans @kbwilson76 it's not a misinterpretation fucktard. ever heard of a typo? ________,Yes
@robyn_diver happy birthday to the girl i miss most in my life. love you bab have the best day get absolutely shitfaced make me proud______xxx,No
a+ tard twitter __,Yes
im still pissed theyre ungrateful asses didnt accept what he brough them. jungkook could give me dirt &amp; id still thƒ https://t.co/jrou0yslsy,No
rt @lxbeetee: @25yearschronic piss off my page you fucking asshat  i would suck off @aplusk just to say i did!  #taximafia is over #getoverƒ,No
we appreciate the attempt @showdownjoe  it's too bad your shithead partner had to ruin it anyway with his tasteless joke.,No
"someone commented on one of my fics that it should be ""too few"" instead of ""too little"". &gt;:c  we can't all be english natives  asshat.",No
briana bounce #interracial #cocksucker #analfuck #doublepenetration #airtight https://t.co/a4zqi8zuce,No
zardari speaking. maryam roti tor cell's asses on fire. nothing better than seeing patwaris with a verbal diarrhea  ____________,No
awaken by a cocksucker in need https://t.co/ms4mh0zjfa,No
why do you expect to be tolerated  chris. what is it about your collective action that begs tolerance  shitheadƒ https://t.co/w0wdvypbaw,Yes
shelbie &amp; i were supposed to go skinny dippy last saturday night... good thing we didnt__ w.our drunk asses smh  wouldnt even make it out,No
______ ______! __________ i swear some people literally think out of their asses it's hilarious https://t.co/fcewx9bzfn,Yes
rt @jazmineledezma_: if you see someone getting played  let they asses know bro. like i get it may not be yo place but damn save them someƒ,No
young why lil kids be so annoying ________ i be wanting to steal they asses __,No
heck yeh hatin asses ____love my life just got anger issues but that ain't nun that can be fixed ______. https://t.co/6c37gksezr,No
soccer chicks show off their round asses https://t.co/ziz3cbrgal,No
#rican girls wearing thong pics sexy asses bent over https://t.co/x37f3vnprc,No
click here to watch the movie:  https://t.co/rgshs31jer party asses and titties https://t.co/cpoahh1wk5,No
#dogging #milfs #cams #blowjobs #anal #pantyhose: three gorgeous asses are waiting for rough doggy style fuck https://t.co/xeg84f4beh,No
rt @aiiodoxaphobia: ur not asshat ur the coolest body part https://t.co/tvmthafpby,No
big anal asses 5 https://t.co/4t99aqizvm,No
@rbbsfond @silentfond shut yall bitch asses,No
always that one family member who's #shitfaced before everyone else __ https://t.co/qm5zu50oih,No
@big_willy_boy i'll go get my own asshat,No
the world *did* come to its senses. then the berlin wall feel  you backwards  thundering shithead. https://t.co/tgmwg8ksfm,Yes
happy happy getting shitfaced by myself,No
missing this tard so much rn @ashleyhall40 https://t.co/hjaxphktd7,No
cocksucker https://t.co/8dthpxwcxq,No
no. not george michael. 2016 you utter shithead,No
@ramiailoiah hahaha now largest vbied attack in turkish asses ______,No
"@mikebastasch @dailycaller fuckn mike  you tard. the conclusion of the article is "".. losing mass at about 200 gt/yr.""",Yes
momma done always told me let em talk ____ as long as they don't touch you so what laugh at em so that's what i do __ to everybody asses be mad,No
@snjeffblair edwins is gone to cleveland i wonder if any collusion is going on! i hope rogers fires their asses!,No
amateurs put things in each others asses https://t.co/vkonwfo16u,No
oh lira &amp; buffy with y'all big ol asses. https://t.co/gfpfct07jc,No
"guy bumps into me. ""sorry i didn't realise you were there"" that's because you didn't look in my direction fuckhead",No
glad the forth worth police department showed their asses and true colors.,No
#wesupportcamilabecause  she always wants to please us. even tho most of the fandom cough** hate her right now with their fake asses! 2c17_,No
bobbi starr toying asses with roxxy raye https://t.co/rmcx9dbrvm,No
was at the bar watching the game and shit. bitches shaking they asses and all i cared about is my car lol,No
@eternalphonk yooooo that mans is getting swole af and is gonna beat our asses for being so annoying in class,No
these hoes lame lying just to get a free trip to meet. smh broke asses,No
rt @jazylh: putting asses in their places since bigg boss 10 ... captain lopa slays hard! go win the show  girl! #biggboss10 weƒ,No
i live in america fucktard. and your representative is doing damage to american's.  p.s. crayons aren't food. https://t.co/jlh4vrfxm5,Yes
the people above me need to calm their asses down and quit slamming doors __,No
bigbang stans better calm their asses down and watch what they say. both you and i know seventeen deserved and won the that award fairly,No
@ian_oconnor had to be psi levels. he should come clean... asshat.,No
behind the scenes with pornstar christy mack __ https://t.co/gcyli4w2dz  #gym  #asses #pornfilms #,No
@phalaenadispar because its based off a video game you r-tard @neontaster,Yes
y'all rich asses!! https://t.co/ojqlm711dy,No
ravens gonna play their asses off so we need to match that stride for stride,No
sexy lesbian teens spank each others perfect asses https://t.co/c78b8eoovr,No
rt @darianabutera: these demi mariah tweets __________ now they on demi's side praising her while shading mariah lmao y'all asses ain't loyal,No
#gey anal glamour asses https://t.co/4yc0fgl7vv,No
bitches trying be cute   freezing ya cute asses off __!! go put a coat on sis it's cold outside ________,No
rt @princessdoesit: sharp enough to dig into your tiny little asses. you wish you were lucky enough to suck on them. tribute me or don'ƒ,No
#nude boys fight somalia ethiopian sexy big asses butt free porn girls pics,No
#free sex big asses free adult check https://t.co/ssn1exqlay,No
yup &amp; all they asses lied ______ https://t.co/7aoqyshga5,No
i will turn you into a pro cocksucker https://t.co/bwzafsxok0,No
rt @lisntcsuqqkz1: amateur cocksucker gotham https://t.co/khzyedpy73,No
douchebag the scientist  shithead the shit on people,No
rt @countupmal: for all yah niggas who like to post pics of yah sticks on social networks   be careful cuz 12 watching hot asses ____ http://ƒ,No
i'm not ready to see yalls snake asses __,No
shithead relating to the bride dresses that cheering remedial of ceiling figures: vnqj https://t.co/on5bfbknny,Yes
shithead an architect slightly less likely to be okay i dunno man well there it is small,Yes
@tracerkilledme @omg_mar sisi  ho he vist mes tard :(,No
rt @samuelsavageiii: i dont give 2 rats asses ab it turning 2017  i just like the the excuse to get together with everyone n be happy n havƒ,No
@ima_bad_bitch_ @kinkybislut @cum4kate i have insane fascination for big anal asses.,No
rt @speedosausage: support my friend vim drawing huge asses  its a good cause https://t.co/ellxvfjqwp,No
us  humans  are that selfish that we think god gave us animals so we can eat them  so basically for our big fat asses.,No
#sex video gallery robbers white pornstars with big asses https://t.co/z0x9yiscme,No
happy new year asswipe @oneeyedhunter,No
girls with great asses #teen french hairy nude sex https://t.co/e8wjzkix56,No
teen asses geting fucked #male supermodel nude https://t.co/v7m4posbaq,No
bye  take they asses. lemme get my shit out thee way.,No
seductive tranny cops bailey jay and juliette stray pounding their tight asses https://t.co/mq0yez9otl,No
i don't post on fb anymore but when i do  i do it so incase some of my fb friends are actually asses &amp; i need to call ppl out fuck,No
@constancequeen8 @truthfeednews i bet if you water boarded this tard he would let you know how deranged he isn't! just a scum bag!,Yes
o17 resolution: more rimming (gl)asses. happy new year y'all. https://t.co/p2lmlqcrqj,No
@marielacoquine2  hot asses !!!,No
@flghtforjudge @lzumis leader of our asses namoi,No
rt @greyachase: these two __ little grown asses #identicaltwins #aubrey #avery https://t.co/tjcppjxxoa,No
@delta you guys are fucking pigs  horrible disgusting fucks  i hope they rape you for every penny you got once they take your asses to court,No
3 am y'all better go to sleep with ya freak asses,No
____ whos coming to enjoy me on webcam right now? _ visit my profile and add my snapchat! #nsfw #porn #sexvideos #asses ___,No
the awesome asses are the stars in this group sex scene https://t.co/ciqfyn9e48,No
@curtfloodjr 3) steve martin:thoughts down in social media  what kind of insensitive moronic asshat runs behind you with a scorecard and,Yes
pov cocksucker swallows a thick load https://t.co/yglwpk7qrj,No
rt @angryblackhoemo: ...gurl...these are cishet men's asses.  you brave as fuck. https://t.co/sgxd3n6mv5,No
fucking whites girls with big asses #lil girl getting fucked https://t.co/5wlawxupey,No
@caealen advance happy new year bb ____ to fatter asses  flatter tummies and sassier come backs ____,No
"@whiphoyer had nor read ur statement.""..that brings real security to its people."" what about the palestinian ppl???? fucktard.idiot",Yes
@reborn4thtime some people can't stop licking other's asses ______ grapes are sour,No
@jefftiedrich lie  cocksucker https://t.co/wgbli5howo,No
chick sucks two guys dick and lick their asses https://t.co/3tzz4b8uyi,No
"~ {the growl of my voice rose.} pants on  fuckboys  we got a female in the house.  ""fuck you  asshat!"" {gage called} @amiablevixen",No
@hugsdyo first round on tonight! get ready ur asses,No
rt @tetsurhoe: freezer : namek va exploser dans 1min  3672 ep plus tard : namek explose,No
@mridgafxv abide by ur own advice u fucktard 25 000+ tweets pointing out ur a horrible cunt #simple @halalkitty2 @mrsverycross @garylineker,Yes
talking out of our asses  -a.m.  one direction #lyricsthatmade2016,No
#exhib amateurs free naked girls with nice asses https://t.co/zqsg5zvqca,No
rebeca linares and abella anderson these double asses - https://t.co/vtvixghctm,No
@2ttony he's an asshat.,No
"twitter ain't gonna have the right answer. their dumb asses can't even differentiate between ""two "" ""to "" and ""too."" https://t.co/e2grqu9miu",Yes
playboy girls having lesbian sex naked #arab big asses girls dance videos without clothes https://t.co/xmmcc777w3,No
@tonyromano1000 @jwhitey_13 and we care what a mentally fucked steroid freak asshat like yourself thinks? fucking nitwit,Yes
gay cocks mouth and asses meet in indecent violent bondage sex mo https://t.co/iaaofhwor2,No
sorry retail works  i know y'all have been bustin your asses for us non stop this season with no days off. thanks for not killing any of us.,No
rt @zombi_warrior: hey humans @cyanide_mfc  is online of myfreecams get your human asses in her room and bow down to her now or you will haƒ,No
@nifkinjuice mus-tard,No
rt @sandile89747851: @cinexdbn looking for discreet females or cross dressers in sa with big asses for nsa. dm me https://t.co/ctpdlyk0in,No
@parentofsam1 that's what i was really laughing about. he was tweeting that &amp; here's this uninformed asshat (executive!) saying same.,Yes
#chelsea brummet naked mature women with huge tits and asses having sex,No
sexy mature asses #kristal summers porn tube https://t.co/fjjuqrtxow,No
mfs complaining about shit they ain't getting. salty asses. https://t.co/eailpmdzsh,No
@_supremeken sorry asses ____,No
i didnt like most of y'all asses,No
got you so so shitfaced though ______,No
____ who is cuming to join me on webcam right now? _ add my snapchat in my profile! #nsfw #porn #sexvideos #asses ____,No
people be dead ass comfortable with borrowing money from everyone and sitting on their asses.,No
@tomphillipseg @crazyreyn @christapsell this is oddly reminiscent of the monkey with four asses from south park.,No
or ima personally whip their asses __ https://t.co/dbonxsabn5,No
@durrrgs i would cut their d**k off ______. that's called. no respect.  why r they married or girlfriend? asses,No
can't sleep doodle asses,No
sexy asses nude https://t.co/8o3gvwag53,No
as soon as she steps out  she asks the girl who had the plastic on her if she's 'd'. she says yes. she went crazy on their asses...,No
"i hate when people get on social media late night and be like ""who's up right now ?"" whoever you see posting   fucktard.",Yes
#millennialmottos millennial grow old and their asses smell just like everyone's but in their minds 'their special ____,No
https://t.co/els6fmprmc first time gh sex - men looking for #sex in port saint lucie #xxx #gaysex #cocksucker,No
@badgal_shi just making sure ion have to whoop any army asses,No
if you say the word r*tard/ed i lose so much respect for you,No
with any luck  keith richards outlives you too fucktard. https://t.co/cfv1bwi9za,Yes
same asshat &gt; https://t.co/hfnxpem3ql #,No
"@fuechsin23 ""don't make me say it asswipe"" ""sucjy dick  whenever i want""",No
drop your glasses  shake your asses __,No
@jkh2 @crystalannick   asshat.  clown-sized asshat.  he might think twice next time but people like that have mean in their bone marrow.,No
2016 u tard shit,No
at least ohio state is getting the asses kicked too,No
#girls asses nude naked girl dancing video https://t.co/eisz0imdz3,No
i hate niggas yo____ yall more confused than females. bitch asses  got more female traits then me __,No
what's that clothing line for girls with big asses? fashionista or something like that.,No
you desperately want to be cool. but you are just a complete #asshat https://t.co/vfpjqpeust,No
"7. ""alright shithead [...] i'm starting to get fucking homicidal. call me the fuck back  ian! i'm worried about youƒ https://t.co/dc6z6xvlqp",No
both they asses said hell nah fam https://t.co/vqzasoha5o,No
rt @knew_football: @kayyreal @jadaniara get y'all i wanna go back to school asses own somewhere __,No
rt @beronicakiss: yall always seem to forget dylan o'brien is a homophobic asshat so when (i say when bcus i know i will) dob stans dragginƒ,No
#milf porn lesbian nude women with big asses https://t.co/tfs3h9sefz,No
@ayo_sydss @colgan_knox_23 @sharp_689 he's gonna beat our asses syd,No
"this actually happened and we caught them at comp and my no name team beat their ""big gym"" asses https://t.co/saiovikfyl",No
@dartheditor we lost roman  da vinci's sad although she probably won't say it  fou's lost his snark  and the mage association is being asses,No
but they choose to be a fuckhead and piss you off __ https://t.co/rk5vmjv2pk,No
teen transexuals pictures #free fat asses porn https://t.co/1nyauogc1e,No
#pornstars asses too deep anal,No
@tehbooty_sydney @worldstarc0medy but if we tried to do that last move our asses would be busted__,No
@omossum oh no i'm so sorry to hear that another one of your family members is a shithead,No
a big entertainment  they'll be nowhere near where they are right now. there are some artists who actually worked their asses off.,No
@delta airlines has reminded me again as to why i dislike they asses __ never again will i book a flight with them ...,No
also  i am spending my new year's eve under my mom's armpit. ö plus tard!,No
pale and small cock on a blondie cocksucker https://t.co/xqnpzpr7gp,No
porn stars big asses #porn playgame https://t.co/qs4japvnbr,No
jungkook is doing so well and his finally feeling happy   we know his been lonely and we know how tired he is ? why can't our asses be happ-,No
jock cocksucker wearing panties and feeding on cum https://t.co/uhiwkljppp,No
cockwaffles  i feel like an asshat after my mood swings,No
@hyparc @laurakbuzz @letsplayvgcom three equal yet different pairs of asses?,No
#celibrities porn desi girls naked asses videos https://t.co/er06pnlsvn,No
rt @wolfengesser: ((i feel like a shithead for basically abandoning this account but things have been tough. i promise i'll be back somedayƒ,No
i stg if that shithead doesn't let his hair grow out more,No
laughing at people out of shape  working their asses of in the gym is like laughing at sick people in the hospital - kuya dom. preach sir ____,No
rt @stanfordr80: @johnfromcranber mexico  your leaders sold your land to america! dumb asses!,Yes
picture 2 with flatter asses https://t.co/e65qo7rtk9,No
@shawnking listening to the latest yml and realizing the asshat here recorded but didnÍt send the christmas message.,No
rt @eboneekush: @damnaarielle there's nothing like them down south men with their country accents and drug dealing scamming asses lol __,No
naked puerto rican girls with fat asses camera phones #anal sex 92 https://t.co/igd8y367sj,No
@speakingondreka @nifulla y'all asses need an apple,No
cock slapping a cocksucker https://t.co/mldqrftlxp,No
rt randfish but evidence shows teams like that often have their asses kicked by junior  avg-intelligence folks who share trust  respect  caƒ,No
@dan_disgrace @bbcbreaking @bbcnews i'm not christian you fuck tard,Yes
"rt @mayadaniellep: nah. that's where people make mistakes. stop giving men passes because ""men will be men"". hold their asses accountaƒ",No
that's right. all our faves dragged their asses to new york to have super junior be named best performances: https://t.co/uk8zvevrzd,No
big black sexy asses,No
@tori_martino they are going to play their asses off tonight and won't have anything left for the pack.,No
@georgeb3dr excuses  excuses. i go to star wars to see storm troopers get their asses force pushed.,No
yes  please @ofctrendsetter __ richardat25 richardturns25 richardnowsilver richardreachedsilver  xoxo  a-tard me. _ƒ https://t.co/ehe6znhq8g,No
for good my ass. i'm going back there someday and i'm gonna find their asses ugh,No
rt @hopesoio_: where were you when our lord and savior alex morgan saved team usa's asses in the dying minutes of the game vs canada at theƒ,No
@nyislanders too late fucktard! #firecappy #isles,Yes
rt @lifeisbellarke: bellamy saved the grounders and they left him and his people to die. without him the mm would still own their assesƒ,No
if ohio state would pull their heads out of their asses that would just be great,No
rt @pizzayeols: stan jongdae j-esus o-wns all our asses n-eeds more love g-od of vocals d-ancing is my passion a- man living in the fortiesƒ,No
@nickkcashinoutt like one more post by kayla i'm beating both yalls asses real talk it straight like that,No
namja.124 forever saving our asses. __ uploads vids like flash real mvp,No
tonight the night to get shitfaced,No
half of em really just be tryna impress other niggas wit they gay asses https://t.co/z5f62rh5dr,No
@gothkxtty u had to finish the paper u asshat,No
"rt @takuyakanbara12: ""every proper athlete knows to empty their balls and fill their asses with the spunk of fellow players or coaches."" htƒ",No
ugghhhh  tried one of the double stacked tacos from @tacobell  disgusting. they're just pulling menu items out of their asses at this point,No
i love this so much bts better notice him or i will drop their asses https://t.co/crdxcmecvo,No
@lizziethat voight is an ass. i like asses. olinksy is my fave and if they ever take him away i'm quitting this show. ruzek is an idiot.,Yes
y'all who's calling luke racist  you need to get your head out of your asses. he is one of the most genuine &amp; caring person ever. so stop.,Yes
@ap_politics @ap -you couldn't make this up__he doesn't even hide it. what a slap in the face. get off your asses and vote,No
i just like watching guys act like a bunch of animals in tight pants grabbing and slapping each other's asses and such.,No
it funny the same group that had a tard fit over over tracers ass are the same people that are now acting like shes the new jesus christ,Yes
i dream of my face buried between the perfect asses of @msvirgoperidot and @bunnydelacruz69. https://t.co/vrlpbo4rx3,No
merry christmas asshat ____,No
but hey let's keep kissing the addicts asses ..... fuck every single one of them &amp; their enablers.  https://t.co/aaf69ivjck,No
@madeinguam_ lmaoo these niggas need jobs w. they bitch asses __,No
i don't mind with the zombies but the man vs. man fights  yikes. geez  we're in an apocalypse and you act like a shithead?,No
he's an asshat https://t.co/jzwqsbmqi4,No
@bts_twt if y'all dont get your asses to our countries in '17 polina &amp; i will find a way to go to wherever u are and sneak into your concert,No
@glinner @realmattlucas and graham. when ur done kissing asses u might see the truth. which is  that u are the real racist.,No
rt @rakalaladon: y'all really want a girl that's going to be content and satisfied with y'all subpar asses. that's sick. __ https://t.co/7trƒ,No
