Text,Class,Type
Dnevi hitrosti v Goodwoodu prestavljeni! https://t.co/en1hmGiGIZ https://t.co/9BrZcjp0VC,0,
"Tolk mi je cuker padel, da sem šel 2 tabletki natrena pojest. V sili še hudič muhe žre.",0,
"V najhujšem dežju, kljub kašlju sem šla nabirat gobe. In pozabila na kašelj, ko sem zagledala jurčke :D #pasaloje",0,
mogoče pa bi tud ukinil davke in takse pa bi prispevki v proračun plačevali po zmožnostih ali volontersko ??? https://t.co/vR97Mfb4cD,0,
Sporna pokojnina: zakaj jo prejemajo sodelavci nacistov? https://t.co/IJBnhtnpl3,0,
"@stanka_d SDS bo vsem javnim islužbencem dvignil plače za 40%, tistim v y razredu pa za 55%. #janezov sds populizem",0,
"@oggctopus Malo čaja z limono popij, pa se bo samo po sebi uredilo.  #Cvitamin",0,
"@JJansaSDS Ja Ahilovo peto obdavcit in hkrati zagotovit megalomanske appetite ,brez da bi ahil crknil",0,
Lahko bi informativnodnevno mladež po Ljubljani fural s helikopterjem... #gnetscha,0,
@AntonPeinkiher @drVinkoGorenak @vinkovasle1 In to je bil samo transport orožja in streliva z ENE (1!) same ladje z imenom Scotia!,0,
"@zblojena O, trpljenje. Jest sem že tri sobe spucal, ene 6 strojev perila je za oprat, zdele bo pa folk začel prihajat....",0,
ISC 2017: trojno protiagregacijsko zdravljenje po možganskožilnem dogodku ne prinaša skupne klinične koristi - https://t.co/vwP8buJGJ0,0,
Sneg pobelil smučišča in ceste v višjih predelih Gorenjske https://t.co/Px1Mo8QHa5 https://t.co/ftvhzNhLSq,0,
@marjanritonja @mcanzutti @tfajon Če jim naša država izda vizo lahko potujejo po vsem Šengnu. Btw. Albanci in Bosanci vize za potovanje do 90 dni ne potrebujejo.,0,
V manjših krajih po Sloveniji cene nepremičnin še vedno rastejo zaradi slabe ponudbe. #zmvn-1 #gurs #posvet,0,
"Jutri in v četrtek bodo policisti šesto leto zapored na 629 lokacijah po Sloveniji izvajali maraton nadzora hitrosti. V Pomurju bo poostren nadzor izveden v četrtek. Preverite, na katerih lokacijah ⬇️ #vestnik https://t.co/irxAKfeKWx",0,
To so tej vrhunski skladatelji. Cele zgodbe v nekaj metrih drvi ... razžaganih s simfonično motorko. ❤️ https://t.co/MBO4VOplQl,0,
"@leaathenatabako @YouTube Odprt svet nastane z odprtim umom. Nacionalist, koga boš pa zdaj šimfal, ko več ne veš čigav si.",0,
"Sem zjutraj pogledal termometer ...  In zdi se mi, da je še živo srebro od mraza umrlo. :P",0,
"@TaTrenutek Za Poljsko velja, triumf nad nacizmom je z dežja pod kap! Nacizem = komunizem!",0,
"@surfon Trenutno gre proti stečaju. Drugače izdelujejo polizdelke - za nekatere je to dodana vrednost, drugim ne.",0,
"Dajte prosim objet in polupckat svoje kuzke. Jocem po tem, ko sem videla posnetek zenske, ki zbrca kuzka v dvigalu.",0,
"@Centrifuzija Ustavila si se ravno pravi čas. Nas je bralec nadrl, češ da smo razkrili konec. Kako se konča plovba Titanika, smo potem raje zamolčali.",0,
"@drfilomena @_Almita__ Ko sem se '97ga porocila, so me vsi spraseval, zakaj sem dodala priimek, ki se zacne na dj in konca na ić, njega pa, zakaj je zeni pustil, da sem ohranila tudi svoj dekliski priimek. Tut takrat to ni blo ok. V nobenem pogledu.",0,
"Pri sosedih ploskanje in vpitje; lahko da so čakali, da sonce zaprmej zaide in končno lahko odprejo hladilnik, ampak pomoje je fuzbal.",0,
@DanielKalan bo kr počakala-najprej ohladit vročo glavo in prekuhan mozak na sever. #Haarlem,0,
"👀 Delimo najavo javnega programa @RigaBiennial!  Riga International Biennial of Contemporary Art so partnerji MGLC v EU projektu Perennial Biennial. Letošnji bienale se imenuje and suddenly it all blossoms, kurira pa ga Rebecca Lamarche-Vadel.https://t.co/1wVVK6Vntv",0,
"@MazzoVanKlein .....smo vidl včeraj na POP-u...je pa res, da so bili takšni tudi v Cerarjevi vladi, tako da - nič nenavadnega 🙃🙃🙃",0,
"@KatarinaJenko ah internet, prostor kjer so fantje fantje, punce so fantje, voljne najstnice so pa policisti pod krinko ali pranksterji :)",0,
Herbalife srečanja so novi AG partyi 😌😌😌😂 hardcore tehnak+vsi ploskajo in skačejo.,0,
"@ModernaKmetica @Hrastnikov Juhu, ni pica 😀 Čeprav ste mi že povedali, da so @hrastnikov dobre 🙈🙈🙈",0,
"@AppMarela Jutri bo večinoma oblačno s pogostimi padavinami, deloma nevihtami.",0,
"@Luka__F Pozdravljeni, zahvaljujemo se vam za opozorilo, zadevo bomo preverili.",0,
"Ko je bila mama povsem izmučena, je Tibor sam kuhal svoje najljubše jedi #masterchef https://t.co/7q1GNbkEQv https://t.co/f2jeTnsKj8",0,
"@IphigenieNoemi Blazino na rob kavča in potem nogo gor, da bo noga še višje in bo gleženj manj otekal.",0,
"Ponavadi rečemo »vihar v kozarcu vode«. Če je »vihar v žlici«, pa je najbrž ni tako hudo, ker lažje priplavaš ali pripluješ na breg. 😇 https://t.co/nd16OdMS3Y",0,
@surfon Gini je zavajajoč. Tko kot veliko neoklasičnih ekonomskih modelov...,0,
@dusanolaj @petrasovdat @vladarsi Takim kot si ti pa bi verjetno samo Lorena Bobbitt znala odčitat lekcijo.,0,
@RLjubljana @Moj_ca mhm. generacija naših fotrov je znana po enakopravni porazdelitvi gospodinjskih opravil.,0,
Tepeš in Hvala Slovenijo popeljala v vodstvo* - @PS_Sportal http://t.co/aEehYh06,0,
VIDEO!!! LETALO ZADELI DVE STRELI!!! http://videosvet.net/index.php/zanimivosti/491-video-letalo-zadeli-dve-streli,0,
"Bombonjera lepo zavita, vsebina ostaja vprašljiva. https://t.co/nkxgLsDW8k #gorenje #celje https://t.co/6bsGU8e3a3",0,
Globalni finančni regulator z okvirjem za nadzor kriptovalut https://t.co/TzDBKj5jhm,0,
@kosir @YanchMb @jozevolf Lastniki psov tega ne delajo! Psi to delajo in pse imamo radi. Zdej grem pa računat kolk dreka ribe nardijo.,0,
Trije mladci in mladenka na avtobusnem postajališču LPP sredi Lj širijo ksenofobijo in strah. Glasno poslušajo neko orientalsko muziko. 😂,0,
@MuriMursic @BojanPozar @RTV_Slovenija Čemu naj ga podprem? Ko sem delil njegov tweet me je dal na block... https://t.co/ALayOcgaOr,0,
"@Matej_Klaric Če si nisi mobilen, zakaj potem potrebuješ gotovino? Kje jo boš zapravil? Za lažne akviziterje na domu, gasilce, pusta hrusta?",0,
"@RichieKis te lupcke zelo nespametno okol mecemo v virtualnem svetu. Ornk bi razmislili, ce bi to mogli nardit tud IRL :P",0,
"VIKEND AKCIJA RAZVAJANJA! Podarjamo wellness, večerje, penine!  Hotel Avanti Brno (že od 129 eur) Prava izbira za... http://t.co/Ul9IAL9wAf",0,
Fantastičen prikaz kardialne osi v 5 min! http://t.co/VanudivPe7 http://t.co/5JRbr7FXzc,0,
@ZenjaLeiler Beograd: tri kaplje na šest ur in prometni armagedon....pa Putina že skoraj 20 ur nikjer več ni.,0,
"@urosg77 zanimivo, pri meni pa je ravno resolucija problem. HD predvaja ok, ampak ko hočeš prestavit naprej ali nazaj pa je kriza, rabi par sekund, da naloži. Zvok gre naprej, video pa nikamor. Da sploh ne govorim o 4k. :)",0,
"@LevaUros @JJansaSDS Ocitno niso sam levi skrajnezi protiv JJ, ampak tudi tisti iz njegove orbite in njegovega testa,  neokapitalisticni funkcionarji.",0,
"@stiropor To bojo morali zrihtat, mislim dostopnost, ker jim turisti  po Burmi ful bežijo na tajske plaže.",0,
"Dobro je, da se narod, ki je čez leto razdeljen na partizane in domobrance, kakšen dan v letu razdeli zaradi #EMA2019",0,
"@ajitamxy @JozeBizjak @BojanPozar @joze_poglajen @RTV_Slovenija @strankaDeSUS @JJansaSDS @sarecmarjan Oditi so morali zaradi sendvičev, makete, prevažanja kontrabasa z državnim avtom, predolgega jezika in podobno ""kriminalnih"" dejanj. Še dobro, da je Šarec kmalu ugotovil, da poslanci in ministri niso kandidati za papeža! Toliko o preprogi. Pa srečno.",0,
"@badabumbadabum Najboljši je bil komentar E. Carl :"" Potem pa še sestrično v Pravo idejo."" 😂",0,
"@vladaRS @NIJZ_pr @MinZdravje To je ca. 35 novo okuženih ob “normalnem” številu testiranj. Kaj boste naredili @vladaRS @NIJZ_pr @MinZdravje, kako boste ukrepali? Aplikacija ne bo rešila vedno večje težave, kot tudi ne Krek, ki je zgubljen v (svojem) vesolju.",0,
"O vladavini prava imajo kar naenkrat največ za povedati tisti, ki so si na vse kriplje prizadevali zaobiti ustavno sodbo o financiranju šolstva, ki so protiustavno odvzeli poslanski mandat, ki so navdušeni nad naravnim pravom in talionskimi načeli...",0,
Po Evropi protestirajo 'proti uničenju interneta' - https://t.co/cmFj6yKFOF https://t.co/IsLrFgDX95,0,
Jankovič bo osebno pomagal JJ pri zmagi. Sedaj se bodo nasprotniki še močneje strnili vrste. #volitve2018 #volitve,0,
"[POGAJANJA O NOVI KOALICIJI] Svet @StrankaSMC je na današnji seji pooblastil predsednika stranke @PocivalsekZ, da nadaljuje pogovore o vstopu v morebitno vlado @JJansaSDS. https://t.co/zJTDDpf0eE",0,
Ali bi zasebna bolnica placevala in nabavljala material in usluge v nasprotju s trznimi cenami in v svojo skodo ? https://t.co/TMXxLUSnpq,0,
"@PametnaRit Najbolje je, da greš v štacuno, kjer se kdo res spozna in te vrže na tekaško stezo, da se vidi kakšen tekaški copat ti sede.",0,
"Niso iz ceste v Bosni, noben ne jokca, da imajo žalostne učke in da jih bodo z lopato po glavi, še vedno pa nujno... https://t.co/CBtPBvluOh",0,
"ODLIČNA AKCIJA AKTUALNE DISNEY  PRAVLJICE, SAMO 1€ v D, ampak na žalost pri nas v Slofuriji so 4,95€. Lep pozdrav iz Berlina.",0,
"»Če zdaj zamajem zvon, zbudi se kralj Matjaž s svojo vojsko, da nam zakraljuje, in spet bo kmet lahko kmetoval.«  (Fran Milčinski) #quote",0,
@neukrotljiva @TomazZem @aleshojs @24ur_com to za Prelesnikovo ni sporno kajne!,0,
"@MatevzNovak Jest pa čakam, da bo piščalkar končno izpolnil obljubo in popeljal podgane ven iz mesta, pa v reko.",0,
"Samo naša oma zna skuhat  tak mastno govejo juho,da vsi še dva dni fčijemo 10W-30...",0,
"""Nocem usnjene jakne, dokler nimaš motorja."" @Kracalnik: ""Saj ma BicikeLJ, kaj bi še rada.""",0,
"@MarkoFerluga ehh katera komisija, ko jo bodi pukšič pa je še naredila kaj dobreg :D sploh če je zraven še žanči :D",0,
@dragica12 Jelinčič ni del globoke države. Disciplinirat morajo svoje... Da ne bo še komu prišlo na misel sodelovati z JJ.,0,
@SladkoKotLimona @YouTube Ples Turnerja tukaj je EPITOM tega kak fotri plešejo. :D https://t.co/jQP0hFPR7D,0,
@MarliMarkez @NeuroVirtu Pasjo dojiljo ni potrebno razumeti. Če je skotila naj še doji.,0,
"@Urska_ Js načeloma jih tam do treh let rabim, pol pa take svaljkaste pa nepigmentirane ratajo. :)",0,
Tudi HR vlada ima gluha ušesa za ustrahovane ljudi ob meji z BIH ! Yuga se ponavlja z drugim agresorjem !!!,0,
"@MatevzNovak @KARANTANEC Nobenega ni v jamo vrgel taki umirajo mladi, poglej tiste, ki so polnili grabne sami metuzalemi.",0,
"17 dni, 6 tekem. Vijol'čni finiš sezone se začenja v Ljudskem vrtu. Nedelja, 20:15. @nkmaribor 🆚 @nsmura_ms.   #GremoMaribor #MiSkupajEnoSmo #PLTS https://t.co/GDMYhzGTDc",0,
@Agathung @IrenaSirena @MazzoVanKlein @Plavalka Al pa da ni tok vroce v stacuni? Ce nima klime,0,
"V drugem stanju so vsi ful prijazni, povsod greš lahko na wc, vedno dobiš extra kozarec vode, na busu sediš in vsi se ti smehljajo #iLike",0,
"@volitve2018 Radikal je kemijska izpeljanka za skrajno,in ni vazno na kateri strani.Ampak, odvisno od doze !",0,
"@peterjancic @Stavenskovrhski Samo posredno, ker sodelujemo pri njenih rabotah svetovnega policaja.",0,
"Schengen. To, da te na avstrijsko-nemški meji v avtobusu zbudijo policisti z brzostrelkami.",0,
@Vajkard @JiriKocica Mešaš taktiko okupacije dežele komunističnega gošarstva s strateško vizijo Evropejske revolucije NS?,0,
"A lah sam povem, da meni Novo mesto jebeno ROCKS, odkar je @ZalozbaGoga_  na osrednji poziciji organizatorka dogodkov. @JedrtJF",0,
Veganka pa taka. Lahko bi zivga pujsa peljala po mestu pa pokazala kaksne fine zivalce so. Ne pa truplo cez mesto.,0,
MRD Dobova / Favorizirani Mariborčani domov odšli zgolj s točko https://t.co/krcR0XkkwU,0,
"@freeeky Ja, Američani so svoje gozdove ponosno posekali že 100 let nazaj, da lahko jedo kravice.",0,
"Kaj pomaga če si proti fašistom, če si pa socialist. Eno zlo zamenja drugo zlo. Bolj prikrito in bolj nevarno... https://t.co/Fg26CXK5li",0,
"@DarkoErmenc Glede na to, da so jih namontirali v Kremlju, prav gotovo ne bodo takih z Ruskim naglasom pošiljali pred kamere.",0,
@z8_LJ @lavkeri @rtvslo Katanca sem vedno pozorno poslusal. In zdaj bom Keka.,0,
@Fitzroy1985 U Šmarci imaš bazen z visoko betonsko ograjo...zna bit prazen...se boš pa sončil.,0,
"Miran Košuta: Naša alpsko-jadranska domovina, pa tudi Evropa evra, borz, držav, trgov in multinacionalk, bo zgolj kolos iz gline, zemlja brez obraza, če ne bo premogla kulturnih vrednot sožitja, humanizma, sodelovanja, miru, umetnosti  https://t.co/XKI1KEBiAS",0,
Enačba za izračun glomerulne filtracije CKD-EPI bolje oceni tveganje za smrt in druge izide kronične bolezni ledvic - http://t.co/z3dK5Mal,0,
"@ta_muh @Primoz_Kovacic Človek se vpraša, po kateri metodi so pridobili te zveneče titule.",0,
"Če vaši uslužbenci morajo nositi rokavice, jih zagotovite dovolj, da si jih bodo lahko menjavali za vsako stranko @Posta_Slovenije. https://t.co/57Qk4zP7lh",0,
@Marjanmark A tej mladeniči na fotografiji s @strankalevica že udarno gradijo drugi tir?,0,
"Mislim, sej je kul, da je fuzbal na TV, sam kako lahko 45 minut pred tekmo nabijajo o eni tekmi, mi pa tut ni jasno.",0,
"@phr3core @dreychee Mogoce pa bi bilo manj bolniskih, ce bi prehlajeni ljudje san, dva doma ostali in virusov ne okol trosili.",0,
"@hrastelj Edino moram še nagruntat glede dežja. Neko pelerino za baletke, bolj široko :)))",0,
"Mali nismo, ker nas je samo 2 milijona. Mali smo v glavi in se sreca, da nas ni vec. #sramota #JakovFak",0,
"Popoldne sem čofnila na rit, zej odkrila takšno modrico, da glava peče. Najgrša modrica ever.",0,
"@SolinicSimona Kdorkoli nasprotuje temu, da je na čelu SV ženska, preprosto nima prav. To je pa res ksenofobno in ponižujoče do nje.",0,
"Ljudje na Dnevniku pravijo, da bi kar umrli za domovino, Osebno pripravljena umret le od starosti (čeprav bom najbrž v butasti nesreči).",0,
MODERNI EKO »ŠTRBUNK« tudi v LJUBLJANI 🤗  https://t.co/CsmB8WXcMz https://t.co/5WYDeBoOhl,0,
"Odigral. Navdusil. Skoraj crknil. Taxi, hotel, klobasa, pivo, spat... zjutraj pa tect 🙃",0,
@polikarbonat Poslovna niša. Lahko imaš eko pisarno ker maš notri namesto enega fikusa...DVA fikusa! Ljudje so pa butlji.,0,
@MatejKovacc Glede tega konsenza pač nikoli ne bo. SDS zelo dosledno vztraja na večinskem sistemu in tu kaj več od dvotretjinske večine ni mogoče pričakovati.,0,
"@Primoz_Kovacic Jutri pa postrokerji, postmetalci, postpankerji ali celo posthardkorovci? :) Naj bo v užitek!",0,
"Danes sem dvorni pekač na jubilejni fešti za mojo taboljšo polovico. Sem opora, pomočnik, purš in zid objokovanja. No trudim se.👍",0,
Minister mag. @MatejTonin nagovoril gasilce Zgornjesavinske doline na slovesnosti v Gornjem Gradu https://t.co/nSj5vdBqyk,0,
FOTO: Turnišče premagalo Slatino - https://t.co/H7JwaUC0rV https://t.co/g4oVdMrgMG,0,
"@TjasaZavrh Bom, bilo mi je nerodno fotkati osebje, pa bom...nekakšen spodnji del vizirja, ki nudi dobro zaščito, vseeno pa je zračen, ni težak za nošenje, ni zamegljevanja, ni nabiranja snovi na tkanini, itd. Res, domiselno...ker je nekdo mislil pri dizajnu na to, da to nosijo...ljudje!",0,
"@RevijaReporter Za oprane možgane verjetno misli tiste,ki ne razmišljajo tako kot on.",0,
"@Mojca84655391 Res ne vem kam mi je dan danes ušel. Možgani na paši, zunaj sonce, knjiga v parku, živahna mladina ... #SuperFinoFajn",0,
"@lenci53 Vsake kavbojke testiram, če lahko v njih nardim špago. Če lahko, so za na žure taprave 😂.",0,
"@MiranStajerc Fantomska bolečine je groza. Mam primer v familiji, dej zdrž. Navijam za tvoja jetra ! Da sfurajo tole vse skup.",0,
"@Gregorinho14 Najbolje bo, da se Celjani obrnete stran, ko greste mimo. To bo zaleglo za vse čase.",0,
"Topla odejica, skodelica čaja in jesensko deževje … Zveni precej idilično, manjka vam le še dobra knjiga! Nekaj... https://t.co/X7TemIRhBg",0,
@petrasovdat je pa kr sramota za @24UR da ne znajo screen recordinga nardit brez watermarka 😅️,0,
"ŠPANSKO POLICIJSKO NASILJE NAD KATALONCI Mladi Katalonki so policisti lomili prste enega po enega, jo vlekli in... https://t.co/cpCQOQwoo1",0,
@matjazwinkler Res! Veš koliko penzionistov navali zjutraj? Ti so se pa zagotov v dolgem življenju že kaj naučili! :),0,
"@WorldIs2Noisy @barjanski je. Ampak po zvokih, ki jih včasih spušča ne moreš biti čisto prepričan 😁",0,
"Prvi teden sole, je prinesel prvi prehlad. In prvo razvajanje mulcka. https://t.co/LLrlxFLaGS",0,
"@BozidarBiscan Vaški stražarji so bili domoljubi, VOS-ovske trojke pa navadni morilci.",0,
@steinbuch @petrasovdat @ninagaspari Sploh naujo tabl belt z jupolam k je tolk beuha šlo tm skoz,0,
"@mat3ja @t_celestina venera, jap. daleč najbolj vidna s prostim očesom. podobna, a dosti manjša pikica je mars.",0,
@ZoranKofol @RTV_Slovenija Biatlon je sele v cetrtek. Te bom spomnil.  Pa še @z8_LJ.,0,
"„Usim ritim usranim!"" Je že zdavnaj povedal Iztok Mlakar https://t.co/7tBvk2Bh2n",0,
"@Libertarec Tudi 24ur ni nič boljši, za njih je to babje poletje :) https://t.co/IIGLl41mbU",0,
"@MKavscek @JPolajnar Hehe, mi pa smo do zdaj samo enkrat prekoračili 7:30. Danes smo se za ziher izjemoma zbudili kar ob 5. Nikol ne veš kaj zanimivega prinaša dan. :)",0,
@MiroCerar Onadva naj se kar zamenjata. Naš na kit njihov k nam. Bomo malcal rdeče paprike :),0,
"@KLaznik Kamenje si nalži po žepih in bo😉 In še v dolino bo šlo, kot sneta skira.. *za tiste podarjene 💨kile pa čestitam👍",0,
Čudovita vijolčna majčka s slikco psička in mucka še ni bila licitirana. Z licitiranjem majčk pomagate Jeseniškim... http://t.co/PnlXGHIRhR,0,
@RomanVodeb @C_Mirkic @IvanSimi3 Pri neumnih in umrlih baje vedno trpijo bilžnji.,0,
"Eno zadevo pozabila. Družabna omrežja ti prek telefona sledijo vsepovsod. Ni več dovolj, da vstaneš in greš od kompjutra in iz bajte :/",0,
"Začne se čudno obnašati. Pravi, da ga nadzorujejo prek mobilca in laptopa. S sabo nosi nož za samoobrambo.",0,
Znana Slovenka obsedena svojo ritko – ponuja jo z vseh kotov https://t.co/RZUITqyZf4,0,
"šment, na zotter sem pozabila! vse ostalo odkljukano (saherca, dunajc/ figlmilerju, štefans plac, še kufe sem spila ob čiku... Dunaj pač)",0,
"@xmp125a @ZigaTurk Najbrž gre za jamranje pravoverne desnice, ker slovenski mediji poročajo o Šabanu.",0,
@SabrinaStrnisa za eno Obamovo svetovalko je tvitnila... da je kokr otrok muslimanske bratovščine in planeta opic :),0,
Naprodaj nesojeni penthouse Ivana Zidarja v »skakalnici« https://t.co/zZZ5xuEifg,0,
Kaj imata skupnega soja in vibrator? Obadva sta slab nadomestek pravega mesa.,0,
Dve blondinki gledata televizijo pa pride rjavolaska in ga vklopi. https://t.co/Z8QoS5WfJK,0,
"kaj je to ""orbanizacija""? sovražni, izključevalni fašisti imate vedno nek novorek, ki ga ne razumem. https://t.co/gF3bVpOf6q",0,
"Sveža #Metamorfoza! Tokrat »kihamo« s pšenico, merimo dolžino DNA v nas in se potapljamo z brodnikom.  https://t.co/TdyNeuUFXg",0,
"Paradajz, najboljša naložba prekaljenega finančnega investitorja https://t.co/bKfPwzlUld",0,
Trojica Albancev naj bi poskušala oropati bencinsko črpalko v Brkinih https://t.co/SUrvbhjyKt,0,
Nedelja po starem.. Mimo kolin - juha iz svin. Hrbtišča pa restan krompir 2 dl jurke za povrh!,0,
"Premagala je zahrbtno bolezen, a na vrnitev bo treba še počakati  https://t.co/AT8pX3HAfv https://t.co/Kz6EB4NSlQ",0,
"A se bo danes tviter kaj dezifinciral? Vidim, da eni še kar preganjajo komunizem! To naj bi bila prihodnost?",0,
"@mrevlje A sem trdil, da so za okužbe DSO dobro pripravljeni? To mi namreč (zgrešeno) pripisujete. In 'pozabljate', da nisem govoril le o številu ekip, temveč tudi o njihovi kratkotrajni navzočnosti.  Vsi govorijo o zdravljenju po potrebi. Zakon govori o ""najvišji možni stopnji zdravja"".",0,
@MarkoSket Daj no nehaj. Kako te ni sram. Namesto da bi se borili proti pedofiliji se zgovarjate,0,
@Rok_Novak @GZS_ZPN @ZigaTurk Stanovanja se lahko oddajajo po neprofitnih najemninah.,0,
"Ultimativna personalizacija! Skoraj tako huda, kot jo za vaša darila uredimo v Identiksu ;) https://t.co/KQZhgFMadF",0,
Salvini italijanske policiste opremlja z električnimi paralizatorji https://t.co/eaJ2lcviIM https://t.co/6MLfm5q1Ub,0,
"Kipar, odvetnica in dežurni trol so družno ugotovili, da sem ""gej židovski influencer"".  Mislim, da smo našli mersko enoto za vakuum.",0,
"Žena je kot prometni policaj. Našteje ti kup neumnosti,pokvari razpoloženje,vzame denar in na koncu si še kriv...",0,
"@strupko Finci jih jedo preko 'leipajuuso', v prevodu kruh-sir. Kot nek sir za zar, bol gumijast, pogret in serviran s pasiranimi robidami:)",0,
@VladimirVeligor @serlah2017 @dreychee Drugače jaz z veseljem blokiram anonimneže oz. fake acounte...,0,
Taprav dec si zmeri vestno napiše listek za v trgovino ampak nikoli ne gre z njim v le to.,0,
"Sej vem, da niti še ni konkretno mraz, sam moj telo res ni narjen za tole. Ene 15 stopinj premal. Saj. #hejtamzimo",0,
"Jutri zopet vabljeni na KRVAVICA BURGER (štručka s sezamom, ocvirkov namaz, krvavica, zelje, repa, ocvirki) Se vidimo ns Katarini.",0,
@crico111 Pedri?????? Kaj imajo te z DOM???? In zakaj te slabsalnice za geje??? Vsi imamo pravico misliti s svojo glavo!,0,
